Date,Indx,HC,RE,IT,Ind,Mat,CD,CS,Fin,Util,Eng,Com,Portfolio
2017-01-09,64357.45,66355.49,64613.15,65321.09,63902.72,64668.15,64116.89,64094.57,64116.27,63926.4,64230.94,65007.39,774710.5100000001
2017-01-10,64574.09,67164.73,64513.24,66870.06,64410.8,65273.92,64724.33,63988.74,64397.04,63935.65,64009.71,64859.08,778721.3899999999
2017-01-11,64709.4,66331.34,64392.79,67395.71,64791.82,65775.14,64853.96,64142.01,64563.26,64393.4,64595.3,65292.61,781236.7400000001
2017-01-12,64483.43,66584.4,64514.61,67170.38,64431.57,65607.52,64865.11,64014.49,64152.54,64493.95,64378.56,64931.76,779628.3200000001
2017-01-13,64722.05,67094.21,64549.38,67843.43,65061.02,65875.28,64992.86,64356.26,64475.79,64608.09,64353.11,65129.76,783061.24
2017-01-17,64380.97,66638.43,64897.74,67241.7,64579.55,65724.94,65009.8,64730.34,63850.78,65318.3,64476.84,64940.33,781789.72
2017-01-18,64541.76,66471.39,65017.61,67339.91,64752.66,65823.88,65129.71,64819.89,64005.06,65278.26,64242.65,64743.27,782166.0500000002
2017-01-19,64228.42,65701.57,64496.54,67199.2,64600.75,65486.85,64593.47,65050.21,63812.61,64884.92,64163.09,64674.28,778891.91
2017-01-20,64441.07,65739.8,64835.99,67477.5,64923.85,65766.9,64807.03,65136.42,64067.19,64989.4,64528.73,64815.56,781529.44
2017-01-23,64299.22,65223.16,65136.72,67443.54,64882.97,66342.62,64740.16,65268.98,64033.92,65030.55,63854.2,64914.26,781170.3
2017-01-24,64947.07,65471.98,65366.53,68074.89,65725.44,67648.86,65575.75,65644.54,64580.06,65478.66,64773.65,65284.22,788571.6500000001
2017-01-25,65473.26,66104.87,65298.82,68696.22,66523.97,68205.4,65897.24,65875.8,65087.65,65605.39,65348.31,65659.14,793776.0700000002
2017-01-26,65323.74,66017.18,65231.08,68418.73,66394.15,67901.36,65646.26,65510.13,65153.36,65489.47,65443.68,65874.14,792403.28
2017-01-27,65138.17,66554.84,64832.54,68573.39,66357.79,68031.81,65481.18,65472.1,64999.77,65359.12,65120.95,65993.15,791914.8099999999
2017-01-30,64638.33,65580.62,64375.33,69860.0,65797.64,67371.1,65031.14,65206.08,64637.25,65422.79,63932.41,65646.63,787499.3200000001
2017-01-31,64755.08,66594.3,64647.68,69927.03,65904.91,67472.91,65195.67,65476.8,64724.97,66781.22,64043.65,65996.98,791521.2
2017-02-01,65960.1,65960.1,65960.1,65960.1,65960.1,65960.1,65960.1,65960.1,65960.1,65960.1,65960.1,65960.1,791521.1999999998
2017-02-02,65950.08,66413.5,66653.19,66207.06,65667.83,66095.42,65924.78,66040.19,65906.61,66416.29,66079.01,66048.75,793402.7100000001
2017-02-03,66545.75,66988.57,67114.22,66968.84,66247.51,66236.83,66152.18,66441.11,66664.16,66676.21,66669.1,66381.93,799086.4099999999
2017-02-06,66309.75,66999.14,66996.18,66688.33,65969.84,66034.71,65926.6,66066.28,66501.2,66404.69,66091.02,65617.81,795605.55
2017-02-07,66233.83,66972.13,66850.25,66774.35,65918.83,65803.93,65748.87,66281.5,66414.71,66428.69,65361.85,65352.73,794141.67
2017-02-08,66281.18,67042.76,67219.41,66804.66,65814.8,65872.82,65980.53,66509.83,66249.76,66872.75,65216.41,65760.12,795625.03
2017-02-09,66814.35,67727.44,67491.06,67419.32,66237.99,66209.44,66669.01,66865.98,66815.9,66849.3,65776.88,66157.91,801034.5800000002
2017-02-10,67154.92,67806.81,68071.62,67649.83,66688.26,66789.63,67594.51,67067.65,67053.51,67202.04,66188.73,66631.9,805899.41
