TICKER,Sector,Industry
HMMR,Communication Services,Diversified Telecommunication Services
SDPI,Energy,Oil & Gas Equipment & Services 
NVCN,Health Care,Health Crare Equipment & Technology
UNEQ,Materials,Precious Metals Gold Mining 
WPG,Real Estate,Real Estate
DNOW,Industrials,Trading Companies & Distributors
CVEO,Industrials,Commercial & Professional Services
BMTM,Communication Services,Media
GULTU,Energy,Oil & Gas Exploration & Production 
CTRE,Real Estate,Real Estate
TJBH,Consumer Discretionary,Hotels Leisure & Consumer Services
RESN,Information Technology,Communications Equipment
NLBS,Consumer Staples,Household & Personal Products
SSGOF,Consumer Discretionary,Internet & Catalog Retail
AVLP,Consumer Discretionary,Specialty Retail
AGOL,Consumer Discretionary,Distributors Multiline Retail
ANET,Information Technology,Communications Equipment
MGGI,Consumer Discretionary,Household Durables (non-Homebuilding)
PRKI,Communication Services,Media
HRSR,Consumer Staples,Food Products
TKSTF,Information Technology,Computers Electronics
VRDN,Health Care,Biotechnology Life Sciences
TSE,Materials,Chemicals
ASPN,Energy,Oil & Gas Equipment & Services 
AY,Utilities,Multi-Utilities Water Utilities Power
HOFSQ,Energy,Oil & Gas Equipment & Services 
BIIO,Health Care,Health Crare Equipment & Technology
CCS,Consumer Discretionary,Homebuilding
VNOM,Energy,Oil & Gas Exploration & Production 
PARNF,Health Care,Pharmaceuticals
ARDX,Health Care,Biotechnology Life Sciences
LRMR,Health Care,Biotechnology Life Sciences
ELLKY,Industrials,Construction & Engineering
CNNE,Financials,Diversified Financials
MTLS,Information Technology,Software
AMPH,Health Care,Pharmaceuticals
XNET,Information Technology,Software
RLMD,Health Care,Pharmaceuticals
GPRO,Consumer Discretionary,Household Durables (non-Homebuilding)
TMX,Consumer Discretionary,Hotels Leisure & Consumer Services
NERV,Health Care,Biotechnology Life Sciences
NEP,Utilities,Multi-Utilities Water Utilities Power
QABSY,Industrials,Airlines
RYAM,Materials,Specialty Chemicals 
TMST,Materials,Aluminum Steel
CHYHY,Materials,Specialty Chemicals 
DNLMY,Consumer Discretionary,Specialty Retail
BBSEY,Financials,Life Health & Multi-line Insurance
TPDKY,Financials,Life Health & Multi-line Insurance
IGGHY,Financials,Diversified Financials
FUPBY,Materials,Chemicals
EVSBY,Information Technology,Communications Equipment
BPIRY,Financials,Banks
FXTGY,Real Estate,Real Estate
RYKKY,Consumer Discretionary,Distributors Multiline Retail
RRETY,Consumer Staples,Food & Stapes Retailing
ROYMY,Industrials,Transportation Air Freight & Marine
BLBD,Industrials,Construction & Farm Machinery
PANL,Industrials,Transportation Air Freight & Marine
SMMT,Health Care,Biotechnology Life Sciences
BNKL,Health Care,Health Crare Equipment & Technology
NUKK,Information Technology,Software
SUM,Materials,Construction Materials 
TOKTY,Financials,Diversified Financials
DEA,Real Estate,Real Estate
ATEX,Communication Services,Diversified Telecommunication Services
XHR,Real Estate,Real Estate
KALV,Health Care,Biotechnology Life Sciences
CHEK,Health Care,Health Crare Equipment & Technology
PROM,Information Technology,Internet Software & IT Services
PKPH,Health Care,Biotechnology Life Sciences
ACMB,Information Technology,Software
INOV,Health Care,Health Crare Equipment & Technology
PSHZF,Financials,Diversified Financials
BLPH,Health Care,Health Crare Equipment & Technology
NVTA,Health Care,Biotechnology Life Sciences
AJX,Financials,Diversified Financials
